DS571145	9962	10052	2	2	0	21	0	64
DS571145	13994	14048	2	2	0	5	0	40
DS571145	23459	23515	2	2	0	28	0	72
DS571145	23807	23863	2	2	0	3	0	63
DS571145	30560	30707	2	2	0	2	0	60
DS571145	34069	34112	2	2	0	20	0	70
DS571145	34583	34633	1	1	0	49	0	75
DS571145	49242	49288	1	1	0	11	0	72
DS571145	68835	68886	1	1	0	24	0	72
DS571145	69498	69562	1	1	0	2	0	63
DS571145	71619	71680	2	2	0	2	0	70
DS571145	71896	71953	2	2	0	1	0	59
DS571145	73101	73163	1	1	0	72	0	75
DS571145	76637	76684	1	1	0	14	0	72
DS571145	87005	87055	1	1	0	41	0	72
DS571145	93362	93407	2	2	0	3	0	64
DS571145	96057	96106	1	1	0	1	0	65
DS571145	96497	96550	2	2	0	6	0	55
DS571145	97366	98311	2	2	0	3	0	17
DS571145	97375	97868	2	2	0	1	0	12
DS571145	98902	98952	1	1	0	63	0	75
DS571145	98902	98965	1	1	0	1	0	20
DS571145	107720	107770	1	1	0	648	0	75
DS571145	111378	111428	1	1	0	3	0	60
DS571145	119994	120041	2	2	0	72	0	73
DS571145	121813	121863	2	2	0	2	0	71
DS571145	123248	123303	1	1	0	89	0	75
DS571145	123248	123325	1	1	0	1	0	47
DS571145	128135	128186	2	2	0	9	0	71
DS571145	128410	128457	2	2	0	6	0	53
DS571145	130123	130182	2	2	0	1	0	74
DS571145	130847	130906	1	1	0	1	0	23
DS571145	131307	131353	1	1	0	2	0	48
DS571145	134440	134520	1	1	0	3	0	70
DS571145	136138	136198	2	2	0	5	0	58
DS571145	136562	136613	2	2	0	3	0	55
DS571145	136903	137340	2	2	0	8	0	61
DS571145	147298	147361	1	1	0	2	0	24
DS571145	154993	155043	1	1	0	16	0	68
DS571145	155698	155763	1	1	0	1	0	33
DS571145	161132	161210	1	1	0	1	0	53
DS571145	161734	161815	2	2	0	1	0	73
DS571145	172479	172528	2	2	0	3	0	59
DS571145	179706	179755	1	1	0	7	0	46
DS571145	185928	185978	1	1	0	2	0	31
